Attendance,Attendance Status,Bonus,Date,Director,Email,Gender,Job Level,Month,Name,Please enter your feedback,Please enter your score,Please select your location,Quarter,Salary,Senior Manager,Team,Training
Absent,10,4730.5,2025-02-25,Richard Fisher,npowell@yahoo.com,Other,Mid,March,Makayla Lewis,Mother soldier age clear country night small star old sure popular.,10,Sydney,Q3,90214.3,Lance Huffman,Marketing,In Progress
Present,18,2149.73,2025-04-18,Adam Rodriguez,samantha97@gmail.com,Other,Mid,March,Jennifer Thompson,During follow attack charge night beautiful smile interview service company all.,3,London,Q2,115726.56,Mary Watkins,Sales,In Progress
Absent,15,3155.8,2025-04-14,Anita Flynn,vanessa18@hotmail.com,Male,Senior,May,Allison Holloway,Customer born successful me majority interview others occur.,4,London,Q4,48127.22,James Rogers,Marketing,Pending
Present,26,3775.76,2025-04-28,Shelia Torres,sandersdebbie@hotmail.com,Female,Mid,June,Kayla Clark,Share be I program base stand.,2,Mumbai,Q3,54773.01,Morgan Saunders,Marketing,Pending
Present,75,4411.98,2025-02-25,Dr. John Brooks,wheelermichael@gmail.com,Female,Senior,January,Danielle Clark,Capital material leave until girl finish.,9,London,Q4,46859.33,Andrew Munoz,Sales,Pending
Absent,81,3863.26,2025-03-22,Colleen Martin,agarcia@wall.biz,Male,Mid,September,Zachary Rogers,Notice quality yet its hand environment bag explain again send.,7,Sydney,Q3,88689.55,Amanda Barnes,Development,Pending
Present,26,2456.85,2025-03-19,Christopher Miller,tamaracarter@moody.com,Female,Junior,August,James Conrad Jr.,Security low open cold accept expect every account wall region billion employee cup.,1,New York,Q4,72506.31,Thomas Berry,Support,Pending
Present,21,4545.73,2025-04-09,Charles Hall,heidimurray@smith.org,Other,Lead,March,Ruth Thomas,North detail light accept recent sport tree police card exactly that.,6,London,Q4,88882.94,Teresa Smith,HR,In Progress
Absent,14,1707.3,2025-04-14,Jessica Kennedy,miagregory@rice.org,Female,Mid,April,Donna Burnett,Guess same her magazine law class purpose very nearly wrong type.,5,Tokyo,Q4,93264.67,Kimberly Bell,Marketing,Pending
Present,13,3579.12,2025-01-12,Michelle Martinez,floydkathryn@hotmail.com,Other,Mid,March,David Campbell,Walk one her now consumer music mind character threat.,1,Tokyo,Q4,55181.45,Dean Garcia,Support,In Progress
Present,21,3989.87,2025-04-21,Elizabeth Richardson,sarahlynch@barron.com,Female,Junior,March,Jacob Cooper,Try east individual sport majority direction.,8,Sydney,Q1,75741.07,Sarah Johnson,Development,Pending
Absent,34,1019.04,2025-01-03,Patrick Cox,tristan69@beck-jones.com,Other,Lead,March,Marissa Smith,Look suddenly require term lot watch focus.,3,New York,Q1,47217.98,Alyssa Patrick,Sales,Pending
Absent,62,2152.31,2025-01-15,Michael Wallace,pward@lucero-rivas.org,Male,Junior,November,Antonio Everett,Adult someone arrive various character season fly concern eye quite.,4,Tokyo,Q4,60311.64,Kenneth Doyle,HR,Pending
Present,34,3084.12,2025-03-11,Christopher Contreras,elizabeth38@hotmail.com,Female,Mid,November,Christopher Miller,Certain age hospital wonder rest stage certainly sell seem else.,1,London,Q1,89251.54,Susan Arellano,Development,In Progress
Present,10,2108.12,2025-03-04,Brandon Petty,brandonho@gmail.com,Female,Senior,December,Michelle Waters,Leave under finally market gas agree after cold top increase in son PM.,4,Sydney,Q2,101016.23,Kelly Kennedy,Sales,Completed
Absent,98,2328.43,2025-04-24,Daniel Barrett,thomas26@gmail.com,Female,Senior,October,Richard Freeman,Hotel purpose color behind east know.,4,Mumbai,Q1,108865.19,Beverly Cochran,HR,Completed
Absent,88,2302.17,2025-01-20,Alexandra Hopkins,lopezgary@hotmail.com,Other,Mid,January,Arthur Lowe,Source agree democratic dinner develop final participant case since.,6,New York,Q3,67515.46,Mary Patterson,Development,Pending
Present,14,3987.93,2025-02-19,Laura Pineda,davidlopez@jimenez.com,Male,Junior,November,Daniel Johnson,Although while wind material yard method I all suggest front know sense throughout.,1,Sydney,Q3,113471.76,Dawn Cook,Development,In Progress
Absent,58,2521.95,2025-03-25,Penny Brown,christiantammy@anthony.com,Female,Lead,October,Mrs. Nicole Everett,In particularly them chance language ready.,6,London,Q1,111762.22,Jennifer Miller,Support,In Progress
Present,81,3155.54,2025-01-11,Leslie May,jesusaguilar@yahoo.com,Other,Senior,April,Jessica Gonzalez,Energy look company person offer term sport now stay candidate enough church.,8,London,Q1,92553.16,Kevin Castro,Support,Completed
Absent,63,4896.47,2025-02-17,Timothy Carter,jennifer12@evans.biz,Female,Lead,September,Catherine Jackson,Skill standard day light whose environmental feel sell hold improve century toward participant.,4,London,Q2,33503.93,Linda Phillips,Development,Pending
Absent,75,1235.4,2025-01-20,Jessica Cruz,jfrancis@johnson-tucker.com,Female,Junior,September,David Rivera,Treat sing long despite well condition own TV.,1,London,Q3,65730.29,Ivan Calderon,Marketing,Pending
Present,25,4141.73,2025-04-16,Robert Davis,aliciasanders@gmail.com,Male,Senior,February,Matthew Cline,Teacher it hospital on any night production PM wrong.,2,London,Q3,81359.07,Daniel Cole,HR,Pending
Absent,76,4872.0,2025-02-19,Sonya Thompson,tguerra@hotmail.com,Male,Mid,February,Sharon Morris,Respond apply represent almost shoulder doctor.,10,Tokyo,Q3,69352.17,Christian Johnson,Development,Pending
Present,31,3771.81,2025-03-20,Felicia Compton,todd30@johnson.com,Female,Senior,November,Jamie Robinson,Art traditional money several value certainly where maintain.,4,Sydney,Q1,33164.63,Matthew Vasquez,Development,Pending
Absent,33,4191.35,2025-04-22,Ryan Baker,dmartinez@oliver.org,Other,Senior,May,Richard Lee,Very issue shake tax close again stage no ground establish leg rest just.,3,Sydney,Q2,42439.25,Tonya Martinez,Marketing,Pending
Absent,61,1256.34,2025-02-27,Dylan Bishop,patricia17@gill.com,Other,Mid,September,Kevin Aguirre,Necessary democratic under well lot raise edge their trouble rise.,5,Sydney,Q1,76086.21,Jeffrey King,Marketing,In Progress
Present,85,3228.29,2025-02-05,Tiffany Blankenship,smithjeffery@gmail.com,Other,Junior,February,Miss Kari Moore DDS,Purpose as might whatever know character loss worker thank.,7,New York,Q3,34040.05,Thomas Conrad,Marketing,Pending
Present,28,2392.22,2025-02-01,Diana Braun,randydunlap@matthews.info,Male,Lead,July,Jennifer Williams,Less why big economic half hand expert process traditional usually community ok share.,2,New York,Q4,44317.71,Samantha Carter,Development,In Progress
Absent,19,3344.01,2025-03-19,Sarah Taylor,avilabrittany@hotmail.com,Other,Junior,March,Nicole Roberts,Pick bit major fill late explain between little there experience class prevent adult.,4,Tokyo,Q2,84523.64,Jon Beltran DDS,Marketing,Pending
Absent,14,4379.93,2025-04-26,Destiny Landry,bryanowens@yahoo.com,Other,Lead,January,Sean Baker,Less seek discover the act hand eye into from mouth election loss.,4,London,Q4,32760.83,Vincent Garcia,HR,In Progress
Absent,45,4359.7,2025-01-19,Julie Turner,bennettjoshua@gmail.com,Female,Lead,June,Sherri Haynes,Science age major personal serve summer maintain light space sport off my lot.,4,Sydney,Q1,87793.61,Jodi Bartlett,Sales,Completed
Present,95,3142.75,2025-03-02,Brian Mcclain,harveytammy@yahoo.com,Other,Senior,September,Whitney Scott,Possible necessary Democrat free north that.,5,Sydney,Q4,83092.43,Virginia Leblanc,Support,Pending
Absent,15,4966.18,2025-02-15,John Smith,ianlewis@gmail.com,Other,Junior,August,Larry Mcguire,Make environment adult myself ask determine enter throughout garden human.,2,Sydney,Q1,74575.07,Anthony Peck,Marketing,Pending
Present,8,4864.83,2025-03-06,Alexander James,joshuapeterson@hotmail.com,Female,Mid,October,Jason Smith,Shake page cultural director marriage win cup card.,2,London,Q3,94820.54,William Sanchez,HR,Completed
Absent,89,2694.8,2025-01-13,Monica Simmons,aliciamadden@lane.net,Male,Lead,August,Meredith Frank,Drive show put themselves raise college you suggest month.,10,Mumbai,Q1,75852.03,Samuel Gibson,Support,In Progress
Present,78,4309.43,2025-01-07,Elizabeth Kerr,imartin@davies.com,Female,Senior,December,Lawrence Woods,Ready green establish may north environmental reflect reach physical.,8,New York,Q4,105564.09,James Lamb,HR,Pending
Absent,37,2085.83,2025-04-23,Richard Patel,riddlemichael@adams.com,Male,Mid,December,Roy Espinoza,Among hear beautiful day treat sea health lay serve with adult beat financial.,9,New York,Q4,103801.6,Andrew White,Marketing,Pending
Present,40,1548.07,2025-03-14,Jamie Williams,sarah60@brown.org,Female,Lead,July,Thomas Dunn,Early become blue evening baby their morning believe window require present fire week one.,7,London,Q4,109609.81,Sheila Greene,Support,Completed
Present,72,3027.48,2025-03-19,Tyler Sloan,nanderson@jensen-bright.com,Male,Junior,December,James Scott,Hit game politics including set go station compare general understand will spend.,5,Tokyo,Q4,77859.7,Kristin Hernandez,Development,Completed
Present,15,3768.11,2025-04-06,Allison Bowers,mccormickdiane@hotmail.com,Other,Lead,June,Ashley Byrd,Hour while case blue born word in force under send expect try off.,1,Tokyo,Q1,59264.61,Peter Thomas,Support,In Progress
Absent,46,4937.02,2025-03-26,Lisa Ewing,dayapril@hotmail.com,Female,Junior,October,Brandi Gutierrez,Check production food expect surface contain.,3,Sydney,Q2,108112.12,Dr. Deborah Sanchez,Sales,Pending
Absent,32,1380.64,2025-01-21,Sara White,carlamurray@perez.com,Male,Junior,November,Donna Peck,Movie purpose begin build watch bad tell throughout agreement place care though dream.,6,Sydney,Q2,101761.91,Charles Nichols,Support,In Progress
Absent,91,4391.59,2025-03-19,Jacob Davis,davidjackson@johnson-black.com,Female,Mid,December,David Castillo,Between line article bad fall out young reason into news.,9,New York,Q2,98782.61,Lauren Silva,Marketing,Pending
Absent,77,3422.54,2025-04-15,Yesenia Carroll,zmendez@cruz.com,Female,Mid,April,Sandra Tran,Happen material in letter term modern.,1,Tokyo,Q3,84906.78,Carol Johnson,Sales,Pending
Present,74,4221.95,2025-03-07,Victoria Flores,pmartin@rivera-savage.info,Other,Senior,April,David Lawrence,Product family ever future check various thousand adult month support mean course.,4,London,Q2,93343.14,Tony Taylor,HR,Pending
Absent,71,1177.31,2025-01-18,Kelly Jones,carpentervictor@yahoo.com,Other,Lead,April,Katelyn King,East themselves who structure more building accept amount.,10,Sydney,Q2,81701.71,Casey Mcpherson,HR,In Progress
Present,91,1118.52,2025-05-12,Emily Arnold,cassandra14@johnson.net,Other,Junior,December,Jay Taylor,Side cut number act then century unit tonight sea center miss own your.,8,London,Q3,97213.24,Lauren Lopez,Support,Pending
Present,56,3236.23,2025-01-01,Timothy George,xwalker@yahoo.com,Female,Lead,May,Mr. Daniel Moss,Catch base price less hotel perhaps lot tax husband care.,6,Mumbai,Q1,105221.64,Jack Manning,Development,Pending
Absent,67,1942.34,2025-02-01,Eddie Jones,crosbylaura@reyes.com,Male,Mid,March,Emily Whitaker,System now peace message television commercial back crime building food.,5,New York,Q2,114904.69,Kevin Thomas,Support,In Progress
Present,82,2607.13,2025-03-15,Christina Downs,timothy11@yahoo.com,Other,Mid,August,Pamela Buckley,History worry responsibility meeting week stop pass mind eight.,3,London,Q2,59525.18,Kristina West,Marketing,Completed
Absent,3,2640.11,2025-04-17,William Ramsey,elizabethcook@gmail.com,Female,Lead,June,Stephanie Gonzales,Everybody example resource ahead wide reflect turn others style.,3,Sydney,Q4,119580.53,Kelsey Anderson,Marketing,Pending
Present,27,1848.27,2025-03-24,Richard Pope,mezakenneth@shaw.com,Other,Lead,July,Edward Hamilton,Change manager natural medical food we section instead what fall cost financial.,1,Mumbai,Q4,40103.26,Bethany Powers,Support,Pending
Absent,48,3754.88,2025-03-09,Joshua Torres,wanda45@yahoo.com,Female,Senior,June,Corey Alexander,Machine field red particular middle party from.,7,Mumbai,Q1,75880.32,Mr. Robert Ruiz,HR,Pending
Present,32,3824.7,2025-01-01,Lawrence Brooks,diana68@hotmail.com,Male,Junior,December,Ronald Booth,Cause work stock some believe than no might color.,2,Tokyo,Q1,51921.41,Garrett Santana,Development,In Progress
Absent,60,1235.88,2025-01-06,Cynthia Olsen,victoriakirk@gmail.com,Female,Senior,August,Nicholas Johnson,Congress or shoulder money decade member candidate new scientist ahead option another player.,1,Mumbai,Q1,101221.99,Benjamin Warren,HR,Completed
Absent,35,3548.11,2025-01-13,Kaylee Mayer,sreed@pearson.biz,Female,Senior,January,Keith Powell,So well benefit policy from lose film pick worker involve religious million.,6,New York,Q4,93809.51,Faith Davis,Marketing,Pending
Absent,94,3785.77,2025-05-12,Kelly Ellis,brownjennifer@gmail.com,Female,Senior,May,Gabrielle Edwards,Garden matter play current along across foreign talk kind student.,10,New York,Q4,42627.34,Tiffany Sanchez,Support,Pending
Absent,25,1371.46,2025-04-24,Victor Evans,katherinejones@cox-west.com,Female,Junior,August,Kimberly Webb,Cause the station mean society case similar.,4,Mumbai,Q3,65810.83,Leah Fox,Sales,Completed
Absent,9,1950.51,2025-02-15,Ivan Morgan,danny08@yahoo.com,Female,Mid,June,Emily Roberts,International so often woman sell reveal impact beat situation officer thought listen tend.,6,Tokyo,Q1,81261.2,Tiffany Thornton,Marketing,In Progress
Absent,16,3544.44,2025-04-30,Anthony Freeman,alex25@hubbard.com,Female,Junior,December,Steven Thomas,Present example recognize full security recent sound.,8,Mumbai,Q3,88823.05,Patrick Oliver,Sales,Pending
Absent,61,3168.4,2025-02-18,Sheila Keller,jennifersanchez@duran-stafford.biz,Female,Mid,January,Jeremy Dudley,Lose enter society small collection fly policy customer financial within year table ask.,2,New York,Q4,49688.48,Albert Watts,Marketing,In Progress
Absent,84,1847.45,2025-01-25,Erik Schmidt,erinfletcher@gmail.com,Female,Lead,November,Steven Miller,Provide next read not sure something method lot animal wait government.,6,Mumbai,Q3,54112.57,Marcus White,Marketing,Completed
Present,1,3164.95,2025-04-15,Jason Taylor,thompsonkeith@torres.net,Male,Mid,June,Erika Bass,Work fall order half man information.,9,Mumbai,Q2,110565.44,Brandy Nelson,Development,Pending
Absent,69,3515.46,2025-03-07,Sharon Erickson,kevinmarshall@hall-simon.com,Male,Mid,June,Joseph Williams,Road ten woman debate plant challenge popular push.,8,Tokyo,Q3,58122.09,Julian Wilkins,HR,Completed
Absent,62,4030.83,2025-01-10,Rita Dunlap,hjones@ward.biz,Female,Junior,August,Dr. Peter Mann DDS,Likely return drive should hand return own.,2,New York,Q1,76227.09,Megan Rosario,Sales,In Progress
Present,60,1157.74,2025-03-23,Nicholas Lynch,jimenezcody@hotmail.com,Male,Mid,October,Ashley Reed,Bring yard particular Mrs condition heavy system age strong data admit.,7,Tokyo,Q2,116973.6,Donald Kane,HR,Pending
Present,54,3207.57,2025-04-23,Emily Herrera,silvadylan@gonzalez.com,Male,Lead,June,Julia White,Admit least Mrs story western player and.,7,London,Q4,116262.76,Allison Carney,Development,Pending
Present,76,1640.08,2025-05-02,Adam Romero,melissaspencer@gmail.com,Male,Junior,July,Charlotte Montgomery,Watch majority east election because fact wear campaign.,2,New York,Q4,33953.9,Valerie Harris,HR,Pending
Present,95,3974.58,2025-03-02,Frances Simpson,kmatthews@jackson.net,Female,Junior,December,David Townsend,Nothing degree history exactly plant rate.,3,London,Q4,110179.08,Samuel Aguirre,Sales,Pending
Absent,64,2536.91,2025-02-16,Benjamin Roberts,adam02@bradley.net,Male,Mid,June,Raymond Francis MD,Report determine itself oil enter include again he buy almost.,4,Tokyo,Q3,75040.54,Janet Shaffer,Marketing,Completed
Present,0,3504.39,2025-05-04,Christopher Brooks,bdixon@smith-brown.com,Other,Junior,July,Adam Huynh,Provide catch culture face power unit newspaper baby.,8,Mumbai,Q3,78794.42,Carl Robles,Support,Completed
Present,59,1053.28,2025-04-23,Jeremy Mclaughlin,jenniferphillips@hotmail.com,Female,Junior,April,Angela Martin,Now sort social radio recently woman year.,1,Sydney,Q2,46619.73,Roy Brooks,Development,Completed
Absent,77,1032.82,2025-03-02,Jose Gentry,kaylaanderson@kemp.org,Female,Lead,July,Jeremy Myers,In difficult offer scene as window season few glass national myself every.,1,Sydney,Q2,42196.22,Ronald Gonzalez,Sales,In Progress
Present,37,4989.46,2025-01-09,Rachel Mejia DDS,tara87@hotmail.com,Female,Junior,July,Jackie Smith,Wait management rest former wide adult bill.,2,Mumbai,Q4,108680.06,Tony Rivera,Marketing,In Progress
Present,34,3585.82,2025-02-24,Monique Miller,ytodd@hotmail.com,Male,Junior,February,Sheri Reyes,Bring stay anything other first ok both agree after might.,4,Sydney,Q3,95262.29,Donald Schaefer,Marketing,In Progress
Present,95,1251.6,2025-02-06,Yolanda Richard,rjordan@gonzalez.com,Male,Mid,March,Jake Sanchez,Information hour herself important quite table fill country.,4,London,Q3,115545.3,Amy King,Sales,In Progress
Absent,66,4347.86,2025-01-23,Richard Roth,ashleyblackwell@yahoo.com,Male,Junior,August,Troy Thornton,Bag good task chair action represent discuss they behind those character amount.,2,New York,Q4,102633.21,John Morse,Sales,Completed
Absent,93,1219.96,2025-02-11,Ryan Weber,wilsonbrian@cooper.com,Other,Junior,August,Amber Newman,Character yeah bed require center ability need require.,7,London,Q2,84167.34,Steven Gonzales,Support,Pending
